연번,자치구,도서관명,개방시간,종료시간,주말 이용시간,도로명주소,경도,위도,휴관일
15,강남구,논현문화마루도서관,09:00,18:00,09:00~17:00,"서울특별시 강남구 논현로131길 40, 4~5층",127.0271061,37.5138471,매주 월요일 및 법정공휴일
16,강동구,강동구립강일도서관,09:00,22:00,09:00~17:00,서울특별시 강동구 아리수로 93길 9-14,127.1739072,37.56504103,매주 화요일 및 법정 공휴일
17,강동구,강동구립성내도서관,09:00,22:00,09:00~17:00,서울특별시 강동구 성안로 106-1,127.133343,37.53284547,매주 월요일 및 법정 공휴일
18,강동구,강동구립암사도서관,09:00,22:00,09:00~17:00,서울특별시 고덕로 20길 42 (암사동 471-37),127.1333655,37.55283302,매주 월요일 및 법정 공휴일
19,강동구,강동구립천호도서관,09:00,18:00,09:00~17:00,서울특별시 강동구 성안로 31마길 1(천호3동 제2공영주차장 지상 2층),127.1340815,37.54052322,매주 월요일 및 법정 공휴일
20,강동구,강동구립해공도서관,09:00,22:00,09:00~17:00,서울특별시 강동구 올림픽로 702,127.1255384,37.54394767,매주 화요일 및 법정 공휴일
21,강동구,강동구립둔촌도서관,09:00,18:00,09:00~17:00,서울특별시 강동구 동남로49길 21-8,127.1481604,37.53178679,매주 화요일 및 법정 공휴일
22,강북구,강북문화정보도서관,07:00,22:00,07:00~22:00,서울특별시 강북구 오현로 145,127.0360797,37.62511539,매월 둘째/넷째 월요일 및 법정공휴일
23,강북구,강북청소년문화정보도서관,07:00,22:00,07:00~22:00,서울특별시 강북구 삼양로54길 68,127.0215555,37.62308136,매월 둘째/넷째 월요일 및 법정공휴일
24,강북구,미아문화정보도서관,07:00,22:00,07:00~22:00,서울특별시 강북구 솔매로49길 14,127.0269751,37.62709135,매월 둘째/넷째 월요일 및 법정공휴일
25,강북구,삼각산어린이도서관,09:00,18:00,09:00~17:00,서울특별시 강북구 삼양로19길 34,127.0207421,37.61514822,매월 둘째/넷째 월요일 및 법정공휴일
26,강북구,솔샘문화정보도서관,07:00,22:00,07:00~22:00,서울특별시 강북구 솔샘로 177,127.0124025,37.62047765,매월 첫째/셋째 월요일 및 법정공휴일
27,강북구,송중문화정보도서관,07:00,22:00,07:00~22:00,서울특별시 강북구 도봉로20나길 6,127.0299376,37.61831312,매월 첫째/셋째 월요일 및 법정공휴일
28,강북구,수유문화정보도서관,07:00,22:00,07:00~22:00,서울특별시 강북구 삼양로 299,127.0175594,37.6300516,매월 첫째/셋째 월요일 및 법정공휴일
29,강서구,가양도서관,09:00,22:00,09:00~18:00,서울특별시 강서구 양천로61길101(가양동 1493),126.864933,37.55955163,매주 금요일 및 법정 공휴일
30,강서구,강서영어도서관,09:00,22:00,09:00~18:00,서울특별시 강서구 곰달래로57가길 26,126.8607489,37.53480238,매주 월요일 및 법정 공휴일
31,강서구,곰달래도서관,09:00,22:00,09:00~18:00,"서울특별시 강서구 강서로5길 50 (곰달래문화복지센터 5, 6층)",126.8488982,37.52905997,매주 금요일 및 법정 공휴일
32,강서구,길꽃어린이도서관,09:00,22:00,09:00~18:00,서울특별시 강서구 금낭화로24길 5,126.8136575,37.57871896,매주 월요일 및 법정 공휴일
33,강서구,꿈꾸는어린이도서관,09:00,22:00,09:00~18:00,서울특별시 강서구 공항대로 615,126.8733192,37.54733718,매주 월요일 및 법정 공휴일
34,강서구,등빛도서관,09:00,22:00,09:00~18:00,서울특별시 강서구 강서로62길 48,126.8423748,37.56245506,매주 월요일 및 법정 공휴일
35,강서구,우장산숲속도서관,09:00,22:00,09:00~18:00,서울특별시 강서구 우현로 34,126.8418363,37.54828859,매주 월요일 및 법정 공휴일
36,강서구,푸른들청소년도서관,09:00,22:00,09:00~18:00,서울특별시 강서구 강서로45다길 71,126.8351791,37.54466973,매주 금요일 및 법정 공휴일
37,관악구,관악중앙도서관,07:00,23:00,07:00~22:00,서울특별시 관악구 신림로 3길 35,126.9449624,37.46755336,매주 월요일 및 법정 공휴일
38,관악구,글빛정보도서관,09:00,22:00,09:00~22:00,서울특별시 관악구 관악로 30길 23,126.9596703,37.48624318,매주 월요일 및 법정 공휴일
39,관악구,성현동작은도서관,09:00,19:00,09:00~17:00,서울특별시 관악구 관악로37길 56 동아아파트 상가B동 5층,126.9561835,37.48731296,매주 월요일 및 법정 공휴일
40,관악구,은천동작은도서관,09:00,20:00,09:00~17:00,서울특별시 관악구 봉천로33나길 30,126.9424095,37.48530456,매주 월요일 및 법정 공휴일
41,관악구,조원도서관,09:00,20:00,09:00~17:00,서울특별시 관악구 조원로12길 25,126.9077947,37.48256328,매주 월요일 및 법정 공휴일
42,광진구,광진정보도서관,09:00,22:00,09:00~18:00,서울특별시 광진구 아차산로78길 90(광장동),127.1106155,37.55107291,매월둘째/넷째화요일 및 법정/임시공휴일
43,광진구,구의제3동도서관,09:00,20:00,09:00~18:00,서울특별시 광진구 강변역로 17(구의동),127.0919847,37.53799342,매월둘째/넷째월요일 및 법정/임시공휴일
44,광진구,자양제4동도서관,09:00,20:00,09:00~18:00,서울특별시 광진구 뚝섬로26길 58 (자양동),127.0662584,37.53409779,매월첫째/셋째화요일 및 법정/임시공휴일
45,광진구,중곡문화체육센터도서관,09:00,22:00,09:00~18:00,서울특별시 광진구 능동로 433 (중곡동),127.0848024,37.5677792,매월첫째/셋째월요일 및 법정/임시공휴일
46,광진구,자양한강도서관,09:00,22:00,09:00~18:00,서울특별시 광진구 뚝섬로52길 66(자양동),127.077668,37.52921552,매월둘째/넷째월요일 및 법정/임시공휴일
47,광진구,군자동도서관,09:00,20:00,09:00~18:00,서울특별시 광진구 면목로 13 군자동복합청사 1층 ,127.0753494,37.55548521,매월첫째/셋째화요일 및 법정/임시공휴일
48,광진구,아차산숲속도서관,09:00,18:00,09:00~18:00,서울특별시 광진구 영화사로 139,127.1008158,37.552474,"매주 화요일, 법정 공휴일, 임시 공휴일"
49,광진구,광진어린이영어도서관,09:00,18:00,09:00~18:00,서울특별시 광진구 천호대로 136길 55 (구으동),127.089934,37.5471696,매월첫째/셋째화요일 및 법정/임시공휴일
