순번,쉼터명칭,도로명주소,지번주소,시설유형,이용가능인원,운영시작일,개방시간,종료시간,경도,위도,연도,X좌표,Y좌표,자치구
976,e편한세상서울대입구(아)경로당,서울특별시 관악구 청룡16길 43,서울특별시 관악구 봉천동 1554-33,노인시설,35,2023-11-15,09:00:00,18:00:00,126.9431484,37.4761353,2024,194971.2723,541856.9745,관악구
977,청룡동 주민센터,서울특별시 관악구 쑥고개로 44,서울특별시 관악구 봉천동 1539-1,주민센터,15,2023-11-15,09:00:00,21:00:00,126.9416548,37.4791046,2024,194839.3622,542186.6079,관악구
978,일선경로당,서울특별시 관악구  쑥고개로26길  24   (봉천동),서울특별시 관악구 봉천동 1587-7,노인시설,33,2023-11-15,09:00:00,18:00:00,126.9495272,37.4778233,2024,195535.6005,542043.9984,관악구
979,삼성(아) 경로당,서울특별시 관악구 관악로 125,서울특별시 관악구 봉천동 1591-2,노인시설,13,2023-11-15,09:00:00,18:00:00,126.952142,37.476082,2024,195766.7855,541850.6166,관악구
980,서울대입구아이원(아)경로당,서울특별시 관악구 청룡길 78,서울특별시 관악구 봉천동 1560-61,노인시설,35,2023-11-15,09:00:00,18:00:00,126.944955,37.478271,2024,195131.2111,542093.9137,관악구
981,갑을(아)경로당,서울특별시 관악구 관악로5길 42,서울특별시 관악구 봉천동 1700,노인시설,18,2023-11-15,09:00:00,18:00:00,126.952114,37.474829,2024,195764.2381,541711.5517,관악구
982,건영6차(아)경로당,서울특별시 관악구 관악로 133,서울특별시 관악구 봉천동 1701,노인시설,38,2023-11-15,09:00:00,18:00:00,126.951914,37.477026,2024,195746.6716,541955.3982,관악구
983,송현경로당,서울특별시 관악구 장군봉1길 45-6,서울특별시 관악구 봉천동 927-22,노인시설,50,2023-11-15,09:00:00,18:00:00,126.942473,37.481889,2024,194911.9209,542495.5947,관악구
984,은천동 주민센터,서울특별시 관악구 봉천로33나길 30,서울특별시 관악구 봉천동 905-29,주민센터,15,2023-11-15,09:00:00,21:00:00,126.9423684,37.4853058,2024,194902.9015,542874.8198,관악구
985,국지경로당,서울특별시 관악구  국회단지21길  14   (봉천동),서울특별시 관악구 봉천동 635-68,노인시설,86,2023-11-15,09:00:00,18:00:00,126.941507,37.49026,2024,194827.0585,543424.7177,관악구
986,은천경로당,서울특별시 관악구  봉천로27길  45   (봉천동),서울특별시 관악구 봉천동 936-6,노인시설,28,2023-11-15,09:00:00,18:00:00,126.940835,37.485758,2024,194767.3149,542925.0922,관악구
987,벽산블루밍3차(아)경로당,서울특별시 관악구 은천로15길 24,서울특별시 관악구 봉천동 1720,노인시설,14,2023-11-15,09:00:00,18:00:00,126.9443567,37.4882751,2024,195078.947,543204.2672,관악구
988,두산(아)1단지 경로당,서울특별시 관악구 봉천로 387,서울특별시 관악구 봉천동 1708-1,노인시설,45,2023-11-15,09:00:00,18:00:00,126.9453733,37.4867442,2024,195168.7558,543034.3048,관악구
989,벽산블루밍(아)2단지 경로당,서울특별시 관악구 은천로 93,서울특별시 관악구 봉천동 1718,노인시설,34,2023-11-15,09:00:00,18:00:00,126.944698,37.489288,2024,195109.1974,543316.6679,관악구
990,벽산블루밍(아)3단지 경로당,서울특별시 관악구 양녕로 117,서울특별시 관악구 봉천동 1718-1,노인시설,34,2023-11-15,09:00:00,18:00:00,126.942707,37.491766,2024,194933.2846,543591.7987,관악구
991,두산(아)2단지 경로당,서울특별시 관악구 은천로 86,서울특별시 관악구 봉천동 1708-1,노인시설,48,2023-11-15,09:00:00,18:00:00,126.9452193,37.4861221,2024,195155.0957,542965.2678,관악구
992,벽산블루밍(아)1단지 경로당,서울특별시 관악구 은천로 93,서울특별시 관악구 봉천동 1718,노인시설,34,2023-11-15,09:00:00,18:00:00,126.944698,37.489288,2024,195109.1974,543316.6679,관악구
993,두산(아)임대 3단지 경로당,서울특별시 관악구 양녕로 31,서울특별시 관악구 봉천동 1708-2,노인시설,25,2023-11-15,09:00:00,18:00:00,126.945965,37.485182,2024,195220.9869,542860.891,관악구
994,국사봉경로당,서울특별시 관악구 은천로15길 13-2,서울특별시 관악구 봉천동 622-70,노인시설,51,2023-11-15,09:00:00,18:00:00,126.943705,37.487504,2024,195021.26,543118.7195,관악구
995,중앙동 주민센터,서울특별시 관악구 양녕로6다길 7,서울특별시 관악구 봉천동 1512-7,주민센터,16,2023-11-15,09:00:00,21:00:00,126.9497622,37.4841904,2024,195556.7637,542750.6506,관악구
1091,잠원동 주민센터,서울특별시 서초구 나루터로 38,서울특별시 서초구 잠원동 58-27,주민센터,500,2023-11-15,09:00:00,18:00:00,127.0140016,37.5149645,2024,201237.8506,546165.0832,서초구
1092,잠원동 경로당,서울특별시 서초구 강남대로107길 24,서울특별시 서초구 잠원동 7-9,노인시설,30,2023-11-15,09:00:00,18:00:00,127.0173216,37.5178849,2024,201531.3048,546489.2595,서초구
1093,반포1동 주민센터,서울특별시 서초구 사평대로 273,서울특별시 서초구 반포동 20-48,주민센터,50,2023-11-15,09:00:00,18:00:00,127.0133789,37.5050942,2024,201182.9548,545069.598,서초구
1094,반포복지관 경로당,서울특별시 서초구 사평대로55길 90,서울특별시 서초구 반포동 724-12,노인시설,30,2023-11-15,09:00:00,18:00:00,127.0212502,37.5078848,2024,201878.8608,545379.4468,서초구
1095,반포1동경로당,서울특별시 서초구 사평대로55길 90,서울특별시 서초구 반포동 724-12,노인시설,30,2023-11-15,09:00:00,18:00:00,127.0212597,37.507879,2024,201879.7009,545378.8033,서초구
1096,반포2동 주민센터,서울특별시 서초구 신반포로15길 16,서울특별시 서초구 반포동 4-15,주민센터,80,2023-11-15,09:00:00,18:00:00,126.9944708,37.5045867,2024,199511.1079,545013.2023,서초구
1097,반포2동 경로당,서울특별시 서초구 신반포로15길 28,서울특별시 서초구 반포동 4-2,노인시설,30,2023-11-15,09:00:00,18:00:00,126.994819,37.5051187,2024,199541.899,545072.2457,서초구
1098,반포3동 주민센터,서울특별시 서초구 신반포로23길 78,서울특별시 서초구 잠원동 71-7,주민센터,16,2023-11-15,09:00:00,18:00:00,127.0055473,37.5120577,2024,200490.4436,545842.3877,서초구
1099,반포3동 경로당,서울특별시 서초구 신반포로23길 48,서울특별시 서초구 잠원동 72-1,노인시설,40,2023-11-15,09:00:00,18:00:00,127.0032854,37.5093531,2024,200290.4767,545542.2022,서초구
